context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Kendall took the issue seriously because it was something that was criminal.,What will Kendall want to do next?,be law abiding,contact the police,pass the buck,oWant
Kai was babysitting her younger brother Kai when it began to storm.  Kai kept Taylor calm by making popcorn and putting his favorite movie on television.,What does Kai need to do before this?,plug in the popcorn popper,get a good night's sleep,watch the movie,xNeed
Sydney took the trash to the burn barrel then set the trash on fire.,What will Sydney want to do next?,Go inside,Put out the fire,Gather the trash needed for disposal,oWant
Sydney wanted to be a doctor so they knew that they had to work very hard in school to get the right grades to get in to university to study medicine.,How would Others feel as a result?,Others were bored of Sydney,Others were proud of Sydney,Others were unimpressed by Sydney's dedication,xReact
"Jordan mentioned Casey in chapter one, because he is planning on bending the knee with a ring in hand very soon.",What will Jordan want to do next?,go to a theme park with Casey,propose to Casey for marriage,buy the ring,oWant
Casey decided to learn about cooking so she took a Saturday evening cooking class instead of spending time with her boyfriend.,How would Others feel as a result?,excited to date a good cook,like they are cooking too,inattentive to the needs of her boyfriend at time,xReact
Quinn decided for a change so they colored their hair red.,What does Quinn need to do before this?,Comb his hair,Cut their hair,Buy hair conditioner,xNeed
Jesse used notes throughout this book and was going to use them to study.,What will Jesse want to do next?,throw the notes away,do well on his test,examine the notes closely,oWant
Addison was watching women at a fashion show. They regarded every girl.,How would Addison feel afterwards?,sad,bored,happy,xReact
Robin left Tracy's home late at night and began the long walk home.,How would Robin feel afterwards?,nervous,ing to walk alone,eager to get home,xReact
Addison was mad at the character so they threw a pie at them.,How would Addison feel afterwards?,clownish,remorse,furious,xReact
Alex helped Casey escape from harms way to keep them safe.,How would Alex feel afterwards?,capable,Like Carson should be safe,Good for helping,xReact
Sydney had a christmas party for her coworkers at the restaurant.,What will Sydney want to do next?,ignore the guests,plentiful,forget to order refreshments,oWant
Robin let Carson take the lead on the project and take most of the credit.,How would you describe Robin?,interested in promoting their career,not comfortable being the center of attention,always trying to get ahead,xAttr
Lee punched Mike because he had been insulting him at school.,Why did Lee do this?,stop Mike from insulting him,Break up the fight,become friends with Mike,xIntent
"After reading Casey's graduate thesis, Remy gave Casey a different interpretation in an effort to help improve the thesis.",What does Remy need to do before this?,wanted to give Casey something to think about,familiarize themselves with the research Casey has done,skim over most of Casey's notes,xNeed
Jesse stood by Cameron instead of the other people at the show.,How would Jesse feel afterwards?,Awful,feeling great,was there for someone,xReact
Jordan talked behind Ash's back to say mean things about her.,How would you describe Jordan?,sneaky,Two-faced,Truthful,xAttr
Riley is the most popular student in the school.,What will Others want to do next?,run for class president,run for student council,join Riley's gang,oWant
Jordan brought the family for a day out at the beach but when they got there Jordan realised that they had left the food at home for the picnic.,How would you describe Jordan?,Forgetful,annoyed,frustrated,xAttr
Addison was already full from lunch but ate the cereal anyway.,How would Addison feel afterwards?,eats even when she's not hungry,'s stuffed,sick,xReact
Jordan won a car and could not believe his luck.,How would Jordan feel afterwards?,thrilled,upset,angry,xReact
Robin proposed another idea and suggested going to the movies.,Why did Robin do this?,do what she wanted,consider the options before this,follow the crowd,xIntent
"Riley was more competent than her manager, but the manager was so arrogant Riley could not get a word in edgewise.",What will the manager want to do next?,make Riley work harder,be quiet,replace the manager,oWant
Jesse set Robin's house on fire when Robin would not run away with him.,What will happen to Jesse?,be loved by Robin,call the fire department,be sent to jail,oEffect
Skylar put their mind to rest by making sure everything was safe in the house.,Why did Skylar do this?,loved,check for damage,lazy,xIntent
Sydney was responsible for picking up the mail from the post office. She dropped the box her Grandma sent her full of good china on the way to the car.,What did Sydney do?,started taking ballet classes,got a promotion at her new job,dropped the box of china,oEffect
Sasha gave their sister some of their Adderal pills to help her concentrate better.,How would Others feel as a result?,disappointed in Sasha,helpful,a bad friend,xReact
Aubrey was coming from school in her uniform so Robin had to change Aubrey's clothes before the recital.,What does Robin need to do before this?,go to the recital next,Bring Aubrey to the recital,Pack the school uniform,xNeed
Ash wore a dress and all of his friends laughed at him.,Why did Ash do this?,hurry home and change his clothes,embarrass all of his friends,become a girl,xIntent
Carson was visiting.,What will Carson want to do next?,play a game,Leave his friends,speak with Carson about what he has been doing,oWant
Carson turned music down to go to college instead.,How would you describe Carson?,reckless,practical,powerful,xAttr
Jesse made judgments upon Lee without really knowing him at all.,How would you describe Jesse?,caring,right,unaware,xAttr
Kai handed back the money when he got his car back from the buyer.,What will Kai want to do next?,throw the car away,list the car for sale again,lose the keys,oWant
